description,images,part,name,weight,associated
"Color: Blue<br> Depth: 5/16""<br> Material: Aramid Cord<br> OC Length: 1/2"" x 26""<br> Top Width: 1/2""<br> Type: A Section Aramid Cord<br> Width: 1/2""","https://www.aiproducts.com/images/A24K(1).JPG,https://www.aiproducts.com/images/A24K(2).JPG,https://www.aiproducts.com/images/A24K(3).JPG","A-A24K","Aramid Blue V-Belt (1/2"" X 26"" )",".15 lbs","null"
"","","A-A31867","Lock Nut; M12 X 1.75 Hex Deflected",".03 lbs","null"
"This water pump assembly without pulley is completely new, from the seal to the housing. It's shaft extends 2.5"" beyond the bearing and fits multiple Case-IH Industrial / Construction and Tractor models. (NOTE: replaces A34009-R, A48371)<br> Dim A (1): Shaft Extends 2 1/2""<br> Dim C (3): Beyond Bearing","https://www.aiproducts.com/images/A34009(1).JPG,https://www.aiproducts.com/images/A34009(2).JPG,https://www.aiproducts.com/images/A34009(3).JPG,https://www.aiproducts.com/images/A34009(4).JPG,https://www.aiproducts.com/images/A34009(GASKET).JPG","A-A34009","Pump, Water","15.60 lbs","null"
"","","A-A4028R","Disc, Clutch Drive",,"null"
"Dim A (1): 20 Spline<br> Dim B (2): 10"" O.D.","https://www.aiproducts.com/images/A4355R(1).JPG,https://www.aiproducts.com/images/A4355R(2).JPG","A-A4355R","Disc, Clutch Sliding Drive","5.88 lbs","null"
"Replaces: BMD# BH-A4644R","https://www.aiproducts.com/images/A4644R.JPG","A-A4644R","Heat Exchanger","2.00 lbs","null"
"","https://www.aiproducts.com/images/A50047(1).JPG,https://www.aiproducts.com/images/A50047(2).JPG","A-A50047","Scraper Spring",".09 lbs","null"
"","","A-A5201138","INVALID ITEM NUMBER",,"null"
"","","A-A5202631","INVALID ITEM NUMBER",,"null"
"","https://www.aiproducts.com/images/A52360(1).JPG,https://www.aiproducts.com/images/A52360(2).JPG,https://www.aiproducts.com/images/A52360(3).JPG,https://www.aiproducts.com/images/A52360(4).JPG","A-A52360","Bushing",".33 lbs","null"
"Inside Diameter: 0.635""<br> Outside Diameter: 0.875""<br> Width: 0.562""","https://www.aiproducts.com/images/A54044(1).JPG","A-A54044","Bushing",".05 lbs","null"
"Gasket NOT INCLUDED.","https://www.aiproducts.com/images/A5751K.JPG","A-A5751K","Manifold, Intake & Exhaust","44.50 lbs","null"
"Spline Count: 16<br> Spline Diameter: 1.75""","https://www.aiproducts.com/images/A58975(1).JPG,https://www.aiproducts.com/images/A58975(2).JPG,https://www.aiproducts.com/images/A58975(3).JPG,https://www.aiproducts.com/images/A58975(4).JPG","A-A58975","Trans Disc: 14"", 6-button, solid","7.76 lbs","null"
"Dim A (1): 5.780"" x 1.250""","https://www.aiproducts.com/images/A60568.JPG","A-A60568","Pivot Pin, Front Support","2.30 lbs","null"
"","https://www.aiproducts.com/images/A62092(1).JPG,https://www.aiproducts.com/images/A62092(2).JPG,https://www.aiproducts.com/images/A62092(3).JPG,https://www.aiproducts.com/images/A62092(4).JPG,https://www.aiproducts.com/images/A62092(5).JPG","A-A62092","Sending Unit, Fuel; W/ Gasket",".50 lbs","null"
"Dim A (1): 1.250"" Pivot<br> Dim B (2): Hole Diameter<br> Dim C (3): Includes Pressed In Bushings<br> Replaces: A59612, A62028","https://www.aiproducts.com/images/A66039.JPG","A-A66039","Support, Front Axle","28.60 lbs","A-A60568"
"","https://www.aiproducts.com/images/A69139(1).JPG,https://www.aiproducts.com/images/A69139(2).JPG,https://www.aiproducts.com/images/A69139(3).JPG","A-A69139","Scraper Arm, Left Hand",".26 lbs","null"
"","https://www.aiproducts.com/images/A90012A.JPG","A-A76312","Rec/Drier","2.24 lbs","null"
"Dim A (1): 1/2"" X 85""<br> Color: Blue<br> Depth: 5/16""<br> Material: Aramid Cord<br> OC Length: 1/2"" X 85""<br> Top Width: 1/2""<br> Type: A Section Aramid Cord<br> Width: 1/2""","https://www.aiproducts.com/images/A83K(1).JPG,https://www.aiproducts.com/images/A83K(2).JPG,https://www.aiproducts.com/images/A83K(3).JPG","A-A83K","Aramid Blue V-Belt (1/2"" X 85"" )",".50 lbs","null"
"Color: Blue<br> Depth: 5/16""<br> Material: Aramid Cord<br> OC Length: 1/2"" X 88""<br> Top Width: 1/2""<br> Type: A Section Aramid Cord","https://www.aiproducts.com/images/A86K(1).JPG,https://www.aiproducts.com/images/A86K(2).JPG,https://www.aiproducts.com/images/KEVLAR BELT.JPG","A-A86K","Aramid Blue V-Belt (1/2"" X 88"" )",".52 lbs","null"
"1/2"" x 92"" A Section Polyester Cord<br> Color: Black<br> Depth: 5/16""<br> Length: 92""<br> Material: Polyester Cord<br> OC Length: 1/2"" X 92""<br> Thickness: .315""<br> Top Width: 1/2""<br> Type: A-Section<br> Width: 1/2""","https://www.aiproducts.com/images/BELTCLASSIC.JPG","A-A90","Classical V-Belt  (1/2"" X 92"")",".55 lbs","null"
"Color: Blue<br> Depth: 5/16""<br> Material: Aramid Cord<br> OC Length: 1/2"" X 98""<br> Top Width: 1/2""<br> Type: A Section Aramid Cord","https://www.aiproducts.com/images/A96K(1).JPG,https://www.aiproducts.com/images/A96K(2).JPG,https://www.aiproducts.com/images/A96K(3).JPG","A-A96K","Aramid Blue V-Belt (1/2"" X 98"")",".58 lbs","null"
"Color: Blue<br> Depth: 5/16""<br> Material: Aramid Cord<br> OC Length: 1/2"" X 101""<br> Top Width: 1/2""<br> Type: A Section Aramid Cord","https://www.aiproducts.com/images/A99K(2).JPG","A-A99K","Aramid Blue V-Belt (1/2"" X 101"" )",".60 lbs","null"
"Inside Diameter: .631""<br> Overall Diameter: 1.780""","https://www.aiproducts.com/images/AA21480(1).JPG,https://www.aiproducts.com/images/AA21480(2).JPG,https://www.aiproducts.com/images/AA21480(3).JPG","A-AA21480","Bearing, Ball",".24 lbs","null"
"Bearing Type: 2<br> Bore: 1.750""<br> Bore Type: Round<br> Inner Ring Width: 1.438""<br> Lube Type: Relubable<br> Outer Ring Width: 1.188""<br> Outside Diameter: 3.346""<br> R: 0.334<br> W2: 1.687","https://www.aiproducts.com/images/GW209PPB13-I(1).JPG,https://www.aiproducts.com/images/GW209PPB13-I(2).JPG,https://www.aiproducts.com/images/GW209PPB13-I(3).JPG","A-AA28184","Heavy Disc Bearing, Round Bore, Relubable","1.60 lbs","null"
"","https://www.aiproducts.com/images/AA30941(1).JPG","A-AA30941","Kit, Bearing; w/ Flanges & Gaskets","4.04 lbs","null"
"Bore: .985""<br> Inner Ring Width: .875""<br> Outer Ring Width: .709""<br> Outside Diameter: 2.441""","https://www.aiproducts.com/images/AA34616(1).JPG,https://www.aiproducts.com/images/AA34616(2).JPG,https://www.aiproducts.com/images/AA34616(3).JPG","A-AA34616","Bearing, Ball",".63 lbs","null"
"Inside Diameter: 1.181""<br> Outside Diameter: 2.165""<br> Replaces: Yetter# 2570-594<br> Width: .9062""","https://www.aiproducts.com/images/AA38601(1).JPG,https://www.aiproducts.com/images/AA38601(2).JPG,https://www.aiproducts.com/images/AA38601(3).JPG","A-AA38601","Bearing, Ball (Import)",".49 lbs","null"
"Dim A (1): Input 3/8""<br> Dim B (2): Output 5/16""","https://www.aiproducts.com/images/AA5334R.JPG,https://www.aiproducts.com/images/AA5334R(1).JPG","A-AA5334R","Sediment Bowl Assembly",".81 lbs","A-17C41"
"Our new radiator core is designed and built to precise dimensional specifications to ensure an exact fit. Each core is made of copper fins and a brass lockseam tube. The radiator core has 3 rows of tubes. It is 21.125"" tall, 18.375"" wide, 2"" thick, and has a plate width of 5.562"". This radiator core fits multiple John Deere Tractor models.<br> Dim A (1): A: 21.125"" Core Height<br> Dim B (2): B: 18.375"" Core Width<br> Dim C (3): C: 5.562"" Plate Width<br> Dim D (4): 3 Rows of Tubes<br> Dim E (5): 2.000"" Thick","https://www.aiproducts.com/images/AB4666R.JPG","A-AA5582R","Radiator Core","14.02 lbs","A-A2153R"
"","https://www.aiproducts.com/images/AA6092R(1).JPG,https://www.aiproducts.com/images/AA6092R(2).JPG,https://www.aiproducts.com/images/AA6092R(3).JPG,https://www.aiproducts.com/images/AA6092R.JPG","A-AA6092R","Step & Bracket Assembly","10.40 lbs","null"
"Replaces: AA26795<br> Teeth: 22 & 26","https://www.aiproducts.com/images/AA62992(1).JPG,https://www.aiproducts.com/images/AA62992(2).JPG,https://www.aiproducts.com/images/AA62992(3).JPG","A-AA62992","Sprocket, Seed Transmission Chain","1.84 lbs","null"
"","https://www.aiproducts.com/images/AA64034(1).JPG","A-AA64034","Heavy Duty Scraper Blade Assembly",".24 lbs","null"
"","","A-AA82881","Bearing, Disk",".16 lbs","null"
"","","A-AA90196","Filter Kit, Air",,"null"
"","","A-AB15803J","Filter, Air Breather",,"null"
"Dim A (1): A: 4 1/2"" INLET LENGTH<br> Dim B (2): B: BACK PLATE<br> Dim C (3): C: 14 1/2"" SHELL LENGTH<br> Dim D (4): D: 5"" OUTLET LENGTH<br> Dim E (5): E: 2 1/4"" OUTLET O.D.<br> Dim F (6): F: 24 1/2"" OVERALL LENGTH<br> C to C: 3-1/8"" On Slotted Holes. (2-3/4"" Slot To Slot At It's Closest)<br> Mounting Holes: 3/8"" X 5/8"" Slotted<br> Outside Diameter: 3-7/8"" Square<br> Replaces: R21827R","https://www.aiproducts.com/images/AB2700R.JPG,https://www.aiproducts.com/images/AB2700R(2).JPG,https://www.aiproducts.com/images/AB2700R(1).JPG","A-AB2700R","Muffler","5.00 lbs","null"
"Dim A (1): 4 Linings<br> Dim B (2): 32 Rivets<br> Replaces: AB3848R, B223R, B2723R","https://www.aiproducts.com/images/AB3849R.JPG","A-AB3849R","Brake Lining",".90 lbs","null"
"","","A-AC-O-202203","INVALID ITEM NUMBER",,"null"
"","","A-AC-P-745H-20EL","INVALID ITEM NUMBER",,"null"
"","","A-AD27748","Dryer, Air",,"null"
"","","A-AD27756","Filter, Air Dryer",,"null"
"Universal for both right and left openers, with the use of spacer washer.<br> Machined from solid steel.<br> Two bolt clamp design tightens firmly on worn spindle shaft, providing a superior clamping force.<br> Relief cut design allows for maintained tension on gauge wheel even after wear.<br> Designed with 1/2"" ratchet opening to provide leverage to help with sticky gauge wheels.<br> Includes: Spacer washer.<br> Replaces: AN282108 and AN282109","https://www.aiproducts.com/images/ADJARM(1).JPG","A-ADJARM","Arm, Depth Adjuster","1.72 lbs","null"
"","","A-AE24247","Knifehead Complete","2.03 lbs","null"
"Spline Dia. 2.05"" Spline Count 31. For John Deere Forage Harvester Models: 5200, 5400, 5420, 5440, 5460, 5720, 5730, 5820, 5830<br> Outside Diameter: 11.69""<br> Replaces: AE30020<br> Spline Count: 31<br> Spline Diameter: 2.05","https://www.aiproducts.com/images/AE30020(1).JPG,https://www.aiproducts.com/images/AE30020(2).JPG","A-AE30020","Trans Disc:","4.37 lbs","null"
"New single prong mower guard. Fits John Deere mowers.<br> Replaces: Z9428H, AZ2131H, AH18692, Z463H, AZ3441H, DM700","https://www.aiproducts.com/images/80A16(1).JPG,https://www.aiproducts.com/images/80A16(2).JPG,https://www.aiproducts.com/images/80A16(3).JPG","A-AE36136","Mower Guard, Single Prong","1.58 lbs","null"
"Head Diameter: 1""<br> Length: 3.34""<br> Thread Size: 7/8""-14 UNF","https://www.aiproducts.com/images/AE43612(1).JPG,https://www.aiproducts.com/images/AE43612(2).JPG,https://www.aiproducts.com/images/AE43612(3).JPG","A-AE43612","Relief Valve",".51 lbs","null"
"Includes: Seal & bearing","https://www.aiproducts.com/images/AE48125(1).JPG,https://www.aiproducts.com/images/AE48125(2).JPG,https://www.aiproducts.com/images/AE48125(3).JPG","A-AE48125","Knifehead, LH w/ Seal & Bearing","2.70 lbs","null"
"9' one piece sickle assembly, riveted on smooth sections<br> Section Number: 37","https://www.aiproducts.com/images/AE48595(1).JPG,https://www.aiproducts.com/images/AE48595(2).JPG,https://www.aiproducts.com/images/AE48595(3).JPG","A-AE48595","Sickle, LH, 9', Smooth","23.00 lbs","null"
"6' RH one piece sickle assembly<br> Bolt on fine top serrated sections<br> Section Number: 25","https://www.aiproducts.com/images/AE48720(1).JPG,https://www.aiproducts.com/images/AE48720(2).JPG,https://www.aiproducts.com/images/AE48720(3).JPG","A-AE48720","Sickle, RH, 6', OS","23.00 lbs","null"
"9' LH one piece sickle assembly<br> Bolt on section","https://www.aiproducts.com/images/AE49254(1).JPG,https://www.aiproducts.com/images/AE49254(2).JPG","A-AE49254","Sickle, LH, 9', OS","23.00 lbs","null"
"Safety Slide Lock Tractor Yoke. 1-3/8"" 6 spline, Slide collar. For Series 35R/2200. Fits John Deere Mower Conditioners and Round Balers.","https://www.aiproducts.com/images/D351106(1).JPG,https://www.aiproducts.com/images/D351106(2).JPG,https://www.aiproducts.com/images/D351106(3).JPG","A-AE49815","Safety Slide Lock Tractor Yoke","4.00 lbs","null"
"Inside Diameter: 1.5""<br> Outside Diameter: 3.149""","https://www.aiproducts.com/images/AE50458(1).JPG,https://www.aiproducts.com/images/AE50458(2).JPG,https://www.aiproducts.com/images/AE50458(3).JPG,https://www.aiproducts.com/images/AE50458(4).JPG","A-AE50458","Bearing, Impeller Roll","1.36 lbs","null"
"","","A-AE52447","35 Series Clamp Yoke","7.31 lbs","null"
"Overall Length: 118.4"" extended<br> Thread Size: 7/8""-14 NUC","https://www.aiproducts.com/images/AE54856(1).JPG,https://www.aiproducts.com/images/AE54856(2).JPG,https://www.aiproducts.com/images/AE54856(3).JPG","A-AE54856","Relief Valve",".65 lbs","null"
"","https://www.aiproducts.com/images/AE56948(1).JPG,https://www.aiproducts.com/images/AE56948(2).JPG,https://www.aiproducts.com/images/AE56948(3).JPG","A-AE56948","Shoe; Gauge","22.70 lbs","null"
"Surface wrap tension arm<br> Overall Length: 14.132""","https://www.aiproducts.com/images/AE58393(1).JPG","A-AE58393","Cable, Stop",".07 lbs","null"
"Outside Diameter: 2.750""<br> Shaft Diameter: 2.249""<br> Type: Single Lip / Garter Spring Type<br> Width: .197""","https://www.aiproducts.com/images/AE59995(1).JPG,https://www.aiproducts.com/images/AE59995(2).JPG,https://www.aiproducts.com/images/AE59995(3).JPG,https://www.aiproducts.com/images/AE59995(4).JPG","A-AE59995","Seal; Intermediate Cutterbar / Rotary Roll Conditioner Gear Case",".02 lbs","null"
"","https://www.aiproducts.com/images/AE73088(1).JPG","A-AE73088","Stripper, Mower Conditioner","12.79 lbs","null"
"Includes: 80 Chain- 64 Links (63 Links + 1 Connecting Link)","https://www.aiproducts.com/images/AE74236(1).JPG,https://www.aiproducts.com/images/AE74236(2).JPG,https://www.aiproducts.com/images/AE74236(3).JPG,https://www.aiproducts.com/images/AE74236(4).JPG","A-AE74236","Chain; Lower Drive (USA)","9.88 lbs","null"
"80 degree constant velocity driveline joint & shaft half. Driveline includes plastic guard. Shaft length: 27""; Shaft size: 1-11/16"" � 20 Spline; Tractor yoke: 1-3/8"" � 21 Spline. For 35/44 series.<br> Replaces: AE59638<br> Series: 35/44<br> Shaft Length: 27""<br> Shaft Size: 1 11/16""- 20<br> Tractor Yoke: 1 3/8""- 21","https://www.aiproducts.com/images/DT53272(1).JPG,https://www.aiproducts.com/images/DT53272(2).JPG,https://www.aiproducts.com/images/DT53272(3).JPG,https://www.aiproducts.com/images/DT53272(4).JPG,https://www.aiproducts.com/images/16501406.JPG","A-AE74295","Front Half CV W/ Male Shaft, Cat 5, 35 Series, 1000 RPM","49.00 lbs","null"
"Position Sensor<br> C to C: 1.50"" Mounting Holes<br> Terminals: 3","","A-AE74688","Sensor",".10 lbs","null"
"This water pump with single pulley is completely new, from the seal to the housing, and fits the John Deere Tractor 720 (gas & diesel) and 730 (gas & diesel). (NOTE: replaces AF2368R-R, R1052)<br> Replaces: F1052R","https://www.aiproducts.com/images/AF2368R(1).JPG,https://www.aiproducts.com/images/AF2368R(2).JPG,https://www.aiproducts.com/images/AF2368R(3).JPG,https://www.aiproducts.com/images/AF2368R(GASKET).JPG","A-AF2368R","Pump, Water w/ Pulley","13.00 lbs","null"
"The advanced designs and high quality performance of Fleetguard heavy duty filters give customers the ultimate protection for their equipment. All Fleetguard products are engineered to meet or exceed OEM specifications and ensure engines and other systems achieve maximum life. Cummins Filtration covers the widest range filters in the heavy duty industry. More than a filter company, Cummins Filtration is the only media manufacturer that is part of an engine company. You can have total confidence in your purchase.","https://www.aiproducts.com/images/FLEETGUARD.JPG","A-AF25858","Filter, Air, Magnum RS  (QTY 1)","8.41 lbs","null"
"","","A-AF26549","Filter, Primary Air",,"null"
"","https://www.aiproducts.com/images/AF3096R-1(1).JPG,https://www.aiproducts.com/images/AF3096R-1(2).JPG,https://www.aiproducts.com/images/AF3096R-1(3).JPG","A-AF3096R-1","Bottom Cushion, Wood Base, 20.625"" x 14.625"", BLK","4.60 lbs","null"
"","","A-AF4259","Filter, Air",,"null"
"","","A-AF4312","Filter, Primary Air",,"null"
"","","A-AF4319","Filter, Air",,"null"
"","","A-AF4326","Filter, Air",,"null"
"","","A-AF4328","Filter, Primary Air",,"null"
"","","A-AF4338","Filter, Air",,"null"
"","","A-AF4345J","Filter, Air",,"null"
"","","A-AF4350J","Filter, Air",,"null"
"","","A-AF4354J","Filter, Air",,"null"
"","","A-AF4360","Filter, Primary Air",,"null"
"","","A-AF4369","Filter, Air",,"null"
"","","A-AF4398","Filter, Air",,"null"
"","","A-AF4410","Filter, Primary Air",,"null"
"","","A-AF55841J","Filter, Air",,"null"
"","","A-AF56011","Filter, Cab Air",,"null"
"","","A-AF56020J","Filter, Cab Air",,"null"
"","","A-AF56030","Filter, Cab Air (Active Carbon)",,"null"
"","","A-AF56036","Filter, Cab Air",,"null"
"","","A-AF56038","Filter, Cab Air",,"null"
"","","A-AF56043","Filter, Cab Air",,"null"
"","","A-AF56046","Filter, Cab Air",,"null"
"","","A-AF56049","Filter, Cab Air",,"null"
"","","A-AF56052J","Filter, Air",,"null"
"","","A-AF56054J","Filter, Air",,"null"
"","","A-AF56057J","Filter, Air",,"null"
"","","A-AF56060","Filter, Cab Air",,"null"
"","","A-AF56063","Filter, Cab Air",,"null"
"","","A-AF56067J","Filter, Air",,"null"
"","","A-AF56069J","Filter, Air",,"null"
"","","A-AF56075","Filter, Air",,"null"
"","","A-AF56078J","Filter, Air",,"null"
"","","A-AF56083J","Filter, Cab Air",,"null"
"","","A-AF56087J","Filter, Air",,"null"
"","","A-AF56096","Filter, Air",,"null"
"Replaces: AE51692","https://www.aiproducts.com/images/AFH202031(1).JPG","A-AFH202031","Actuator; Surface Wrap","10.54 lbs","null"
"Chain Size: 50 Roller Chain<br> Links: 102 Total / 101 Roller Links +1 Connecting Link","https://www.aiproducts.com/images/AFH205492(1).JPG,https://www.aiproducts.com/images/AFH205492(2).JPG,https://www.aiproducts.com/images/AFH205492(3).JPG","A-AFH205492","Chain, Baler; Clutch To Rotor","3.95 lbs","null"
"Pickup drive<br> Bore Type: 1.25"" Hex<br> Replaces: AE57757<br> Teeth: 19","https://www.aiproducts.com/images/AFH205832(1).JPG,https://www.aiproducts.com/images/AFH205832(2).JPG,https://www.aiproducts.com/images/AFH205832(3).JPG","A-AFH205832","Sprocket, 19T","1.54 lbs","null"
"Chain Size: 80 Roller Chain<br> Links: 158 Total / 157 Roller +1 Connecting Link<br> Replaces: AE74237","https://www.aiproducts.com/images/AFH206114(1).JPG,https://www.aiproducts.com/images/AFH206114(2).JPG,https://www.aiproducts.com/images/AFH206114(3).JPG","A-AFH206114","Chain, Baler; Upper Drive (Import)","23.00 lbs","null"
"Chain Size: 50 Roller Chain<br> Links: 79 Total","https://www.aiproducts.com/images/AFH208473(1).JPG,https://www.aiproducts.com/images/AFH208473(2).JPG","A-AFH208473","Chain, Baler; Rotor To Reel","3.05 lbs","null"
"Replaces: AFH205782, AFH213234, AE56846, AFH203434, AE71332<br> Width: 18.680""","https://www.aiproducts.com/images/AFH213234(1).JPG,https://www.aiproducts.com/images/AFH213234(2).JPG,https://www.aiproducts.com/images/AFH213234(3).JPG,https://www.aiproducts.com/images/AFH213234(4).JPG,https://www.aiproducts.com/images/AFH213234(5).JPG","A-AFH213234","Guard; Disc Mower","14.00 lbs","null"
"Dim A (1): A- 7.00""<br> Dim B (2): B- 1.00- 16 RH Thrd.","https://www.aiproducts.com/images/AH101187.JPG","A-AH101187","Tie Rod","2.25 lbs","null"
"Flighting Diameter: 7.000""<br> Overall Length: 96.500""<br> Rotation: Right Hand<br> Shaft Diameter: 1.250""","https://www.aiproducts.com/images/AH91283.JPG,https://www.aiproducts.com/images/20SER.JPG","A-AH105856","Auger, Clean Grain, Lower","53.00 lbs","A-JD8593"
"Flighting Diameter: 6.750""<br> Overall Length: 83.750""<br> Replaces: AH91284<br> Rotation: Right Hand<br> Shaft Diameter: 1.250""","https://www.aiproducts.com/images/AH91283.JPG,https://www.aiproducts.com/images/20SER.JPG","A-AH107442","Auger, Clean Grain, Lower","45.00 lbs","A-JD8593"
"","https://www.aiproducts.com/images/AH112077.JPG","A-AH112077","Housing, Tailings Elevator","195.00 lbs","null"
"","https://www.aiproducts.com/images/AH112545.JPG","A-AH112545","Sieve Shoe Frame","175.00 lbs","null"
"","https://www.aiproducts.com/images/AH114417.JPG","A-AH114417","Chaffer Shoe Frame","220.00 lbs","null"
"New rotary screen drive pulley has an outside diameter of 6.375"", groove width of 0.504"", bore diameter of 0.986"", and key/hole diameter of 0.238"". This pulley fits multiple John Deere Combine and Cotton Picker models.<br> Dim A (1): OD: 6.375""<br> Dim B (2): Groove Width: 504""<br> Dim C (3): Bore Dia: .986""<br> Dim D (4): Key/Hole Dia: .238""","https://www.aiproducts.com/images/AH115639(1).JPG,https://www.aiproducts.com/images/AH115639.JPG","A-AH115639","Pulley, Rotary Screen Drive","2.41 lbs","null"
"Reg feeder house, 24 slats<br> C to C Of Sprocket: 19""<br> Links: 75<br> Quantity-Chain: 3-CA550","https://www.aiproducts.com/images/FEEDERHSE.JPG","A-AH116715","Chain, Feeder House","116.00 lbs","null"
"Replaces: AR97616, R58003","https://www.aiproducts.com/images/AH118028(1).JPG","A-AH118028","Bezel W/ Air Louvers; Black","3.59 lbs","null"
"Dim A (1): Chain: 50<br> Dim B (2): Teeth: 22<br> Dim C (3): Bore Dia: .987""<br> Dim D (4): Overall Length: 1.502""","https://www.aiproducts.com/images/AH121046.JPG","A-AH121046","Sprocket, Tailings Auger, Upper","1.99 lbs","null"
"Flighting Diameter: 5.250""<br> Overall Length: 86.125""<br> Reference Number: 1<br> Rotation: Left Hand<br> Shaft Diameter: 1.125""<br> Tube Size: 1.250""","https://www.aiproducts.com/images/AH122336.JPG,https://www.aiproducts.com/images/20SER.JPG","A-AH122336","Auger, Tailings, Lower","42.00 lbs","null"
"Our new radiator is designed and built to precise dimensional specifications to ensure an exact fit. Each radiator has a stamped brass tank, undergoes a rigorous quality inspection, and is 100% leak tested. The radiator has 5 fins per inch and 5 rows of tubes. It is 32.625"" tall and the core size is 27.75"" wide. This radiator fits multiple John Deere Combine models. (NOTE: replaces AH87990, AH112173, AH19911)<br> Dim A (1): Core Size: 27.750"" Wide<br> Dim B (2): 32.625"" High<br> Dim C (3): 5 Rows of Tubes<br> Dim D (4): 5 Fins per Inch<br> Replaces: AH87990, AH112173, AH19911","https://www.aiproducts.com/images/AH124726(1).JPG,https://www.aiproducts.com/images/AH124726(2).JPG,https://www.aiproducts.com/images/AH124726(3).JPG,https://www.aiproducts.com/images/AH124726.JPG","A-AH124726","Radiator","64.00 lbs","null"
"Dim A (1): 28 Tooth<br> Dim B (2): 7.196"" O.D.<br> Dim C (3): 1.130"" Hex Hub","https://www.aiproducts.com/images/AH124999.JPG","A-AH124999","Sprocket, Row Unit; 28 Tooth / 60 Chain","4.32 lbs","null"
"Dim A (1): 52.18"" long<br> Dim B (2): 10 teeth","https://www.aiproducts.com/images/AH125196(1).JPG,https://www.aiproducts.com/images/AH125196(2).JPG,https://www.aiproducts.com/images/AH125196.JPG","A-AH125196","Shaft, Feeder House, Upper","48.00 lbs","null"
"Flighting Diameter: 4.750""<br> Overall Length: 71.750""<br> Rotation: Right Hand<br> Tube Size: 1.00""","https://www.aiproducts.com/images/AH125895.JPG,https://www.aiproducts.com/images/9SER.JPG","A-AH125894","Auger, Tailings, Upper","25.00 lbs","A-GRAE25RRB-I"
"","https://www.aiproducts.com/images/AH125998.JPG,https://www.aiproducts.com/images/AH125998(1).JPG,https://www.aiproducts.com/images/AH125998(2).JPG","A-AH125998","Support Assy, Straw Chopper Deck","43.67 lbs","null"
"","https://www.aiproducts.com/images/AH12678.JPG","A-AH12678","Door, Clean Grain / Tailing Elevator (Solid)","2.40 lbs","null"
"750 - 1350 RPM<br> Dim A (1): Dia: 15.787"" O.D.<br> Dim B (2): Bore Dia: 1.25""","https://www.aiproducts.com/images/AH127496.JPG,https://www.aiproducts.com/images/AH127496(1).JPG,https://www.aiproducts.com/images/AH127496(2).JPG","A-AH127496","Sheave, Separator Fan","23.00 lbs","null"
"Flighting Diameter: 8.00""<br> Overall Length: 75.500""<br> Replaces: AH98301, AH107941, AH114901<br> Rotation: Left Hand<br> Shaft Diameter: 1.000""<br> Tube Size: 1.687""","https://www.aiproducts.com/images/AH127728.JPG,https://www.aiproducts.com/images/20SER.JPG","A-AH127729","Auger, Loading, Tank","38.00 lbs","A-AH214862"
"Dim A (1): 10.31"" long","https://www.aiproducts.com/images/AH128384.JPG","A-AH128384","Shaft, Fan Drive Speed","1.11 lbs","null"
"Dim A (1): Extended Length: 26.339""<br> Dim B (2): Closed Length: 19.213""<br> Dim C (3): Cyl. Dia.: .906""<br> Dim D (4): Rod Dia.: .394""<br> Dim E (5): Rod End/Base End: .315""<br> Dim F (6): Force Lbs./Ft: 146.126<br> Replaces: AH143218","https://www.aiproducts.com/images/AH128598.JPG","A-AH128598","Gas Strut, Rear (LH), Service Access Shield & Rear Corner Sheet","2.50 lbs","null"
"USED ON: Straw Walker, Conveyor Augers, Sieve & Chaffer Drive<br> Bolt Circle: 3.937""<br> Bore: 2.835""","https://www.aiproducts.com/images/F3Z72-I(1).JPG,https://www.aiproducts.com/images/F3Z72-I(2).JPG","A-AH129420","Flange",".55 lbs","null"
"Length: 52.31""<br> Spacing: 1 1/8""<br> Width: 41.87""","https://www.aiproducts.com/images/BLUNT_FINGER.JPG,https://www.aiproducts.com/images/B91517.JPG","A-AH130387","Sieve, Bottom; Blunt Finger","80.00 lbs","null"
"Dim A (1): 76.000"" long<br> Replaces: AH96561","https://www.aiproducts.com/images/AH130467.JPG","A-AH130467","Countershaft, Unloading","30.00 lbs","A-JD9274"
"Hex Type Bore<br> Dim A (1): Chain: 50<br> Dim B (2): Teeth: 30<br> Dim C (3): Bore Dia: 1.00""","https://www.aiproducts.com/images/AH130571.JPG","A-AH130571","Sprocket Assy, Upper Tailings Elevator","3.32 lbs","null"
"Length: 17.92""<br> Type: 1 Piece<br> Width: 62.91""","https://www.aiproducts.com/images/AH130995.JPG","A-AH130995","Chaffer, Extension, Air Foil; Rigid","28.00 lbs","null"
"Length: 48.50""<br> Required: 2 Per Machine<br> Spacing: 1/8"" (3 MM)<br> Width: 31.00""","https://www.aiproducts.com/images/B91517.JPG","A-AH131216","Sieve, Bottom; Round Hole","30.00 lbs","null"
"Dim A (1): Dia: 9.118"" OD<br> Dim B (2): Bore Dia: 1.252""","https://www.aiproducts.com/images/AH131248.JPG","A-AH131248","Pulley, Separator Fan Drive","9.68 lbs","null"
"","https://www.aiproducts.com/images/AH132823(1).JPG,https://www.aiproducts.com/images/AH132823(2).JPG,https://www.aiproducts.com/images/AH132823(3).JPG","A-AH132823","Ball  Bearing","1.07 lbs","null"
